id,title,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,belongs_to_collection,missingness_score,has_tagline,has_homepage,num_same_title,changed_title,num_genres,main_genre,Comedy,Drama,Documentary,Science Fiction,Western,TV Movie,Mystery,Romance,Thriller,Animation,Family,Adventure,War,Music,History,Action,Fantasy,Crime,Horror,top10_prod_comps,num_production_companies,main_production_country,num_production_countries,num_spoken_languages,lang_group,is_english_spoken,popularity_percentile,weighted_rating,release_year,Season,return_on_investment_ratio,profit_loss
38,Eternal Sunshine of the Spotless Mind,108,2004-03-19,20000000,72258126,14.0494,8.091,15395,0,0,1,1,1,False,3,Science Fiction,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Other,3,United States of America,1,1,1,True,95.90073344720184,8.0908857311685,2004,Spring,2.6129063,52258126
55,Amores Perros,154,2000-06-16,2000000,20908467,6.277,7.622,2679,0,0,1,0,1,True,2,Drama,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Other,2,Mexico,1,1,1,False,80.42801165477745,7.621518551145608,2000,Summer,9.4542335,18908467
58,Pirates of the Caribbean: Dead Man's Chest,151,2006-07-06,200000000,1066179747,21.8632,7.365,16302,1,0,1,1,1,False,3,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,Walt Disney,3,United States of America,1,4,4+,True,98.65367225962022,7.364936620074234,2006,Summer,4.330898735,866179747
59,A History of Violence,96,2005-09-23,32000000,61477797,8.9345,7.2,3375,0,0,1,0,1,False,3,Drama,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,New Line Cinema,3,Canada,4,1,1,True,89.89249472520848,7.1997428071890495,2005,Fall,0.92118115625,29477797
62,2001: A Space Odyssey,149,1968-04-02,12000000,71923560,13.2731,8.1,11795,1,0,1,1,1,False,3,Science Fiction,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Other,2,United Kingdom,2,2,2,True,95.34813624032955,8.09985009469907,1968,Spring,4.99363,59923560
63,Twelve Monkeys,129,1995-12-29,29000000,168841459,19.9633,7.601,8539,0,0,1,0,1,False,3,Science Fiction,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Universal Pictures,4,United States of America,1,2,2,True,98.29197226966744,7.600851372022276,1995,Winter,4.822119275862069,139841459
65,8 Mile,111,2002-11-08,41000000,242875078,10.1085,7.14,7417,0,0,1,1,1,False,2,Drama,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Other,2,Germany,2,1,1,True,91.70099467497236,7.139891037620684,2002,Fall,4.923782390243902,201875078
66,Absolute Power,121,1997-02-14,50000000,50100000,4.4562,6.6,1121,0,0,1,0,1,False,3,Crime,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Columbia Pictures,3,United States of America,1,1,1,True,68.47181754244951,6.5997608886543935,1997,Winter,0.002,100000
67,Paradise Now,90,2005-09-07,2000000,3395627,1.7425,6.945,262,0,0,1,1,1,False,4,Crime,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,Other,11,France,4,2,2,True,28.976188083994774,6.942668125742319,2005,Fall,0.6978135,1395627
68,Brazil,143,1985-02-20,15000000,9900000,7.0982,7.664,3396,0,0,1,0,1,False,2,Comedy,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,1,United Kingdom,2,1,1,True,84.1555309956797,7.663607806025974,1985,Winter,-0.34,-5100000
69,Walk the Line,136,2005-09-13,28000000,186800000,4.8837,7.503,2941,0,0,1,0,1,False,3,Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Other,4,Germany,2,1,1,True,72.13905355169295,7.5026018752788,2005,Fall,5.671428571428572,158800000
70,Million Dollar Baby,132,2004-12-05,30000000,216763646,12.2667,7.955,9802,0,0,1,1,1,False,1,Drama,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Warner Bros.,5,Switzerland,2,2,2,True,94.48407515322013,7.954834409575663,2004,Winter,6.2254548666666665,186763646
